"id";"lemma";"Freq";"MI";"T-score";"logDice"
"3003";"úkol";"77";"0,811";"3,772";"1,286"
"3004";"zeleň";"44";"1,857";"4,802";"1,286"
"3005";"ústřice";"32";"5,729";"5,55";"1,286"
"3006";"věnovat";"118";"0,499";"3,177";"1,285"
"3007";"uklidnit";"40";"2,26";"5,004";"1,284"
"3008";"dem";"36";"2,999";"5,249";"1,283"
"3009";"inspektor";"38";"2,561";"5,12";"1,283"
"3010";"producent";"44";"1,844";"4,786";"1,282"
"3011";"ves";"47";"1,632";"4,644";"1,282"
"3012";"konzervativní";"39";"2,39";"5,053";"1,282"
"3013";"odedávna";"32";"5,545";"5,536";"1,282"
"3014";"tajemství";"45";"1,765";"4,735";"1,282"
"3015";"konec";"249";"0,244";"2,458";"1,282"
"3016";"Gross";"39";"2,387";"5,051";"1,281"
"3017";"pyšně";"32";"5,518";"5,533";"1,281"
"3018";"vzít";"124";"0,469";"3,092";"1,281"
"3019";"taky";"34";"3,686";"5,378";"1,281"
"3020";"podporovat";"69";"0,919";"3,915";"1,28"
"3021";"Miroslav";"98";"0,602";"3,378";"1,279"
"3022";"pokus";"73";"0,854";"3,818";"1,279"
"3023";"1997";"48";"1,566";"4,589";"1,279"
"3024";"rasista";"32";"5,43";"5,526";"1,279"
"3025";"řeč";"57";"1,192";"4,246";"1,279"
"3026";"vlast";"40";"2,234";"4,98";"1,278"
"3027";"Indie";"42";"2,005";"4,867";"1,277"
"3028";"chrám";"42";"2,003";"4,864";"1,277"
"3029";"těleso";"38";"2,525";"5,094";"1,277"
"3030";"slepý";"37";"2,711";"5,154";"1,276"
"3031";"přímý";"75";"0,819";"3,752";"1,276"
"3032";"podvádět";"33";"4,206";"5,433";"1,275"
"3033";"vybraný";"56";"1,215";"4,259";"1,274"
"3034";"volený";"33";"4,186";"5,429";"1,274"
"3035";"Nova";"45";"1,741";"4,701";"1,274"
"3036";"trénovat";"64";"1,004";"4,011";"1,274"
"3037";"drzý";"33";"4,136";"5,418";"1,271"
"3038";"platný";"52";"1,352";"4,385";"1,271"
"3039";"nákaza";"39";"2,334";"5,007";"1,271"
"3040";"předešlý";"38";"2,486";"5,064";"1,27"
"3041";"Slatiňany";"33";"4,107";"5,411";"1,27"
"3042";"podivínsky";"31";"11,161";"5,565";"1,268"
"3043";"výbor";"74";"0,818";"3,724";"1,267"
"3044";"konstatovat";"73";"0,832";"3,746";"1,267"
"3045";"oblíbený";"82";"0,72";"3,557";"1,267"
"3046";"amatér";"35";"3,152";"5,251";"1,267"
"3047";"infantilně";"31";"9,698";"5,561";"1,266"
"3048";"ublížit";"37";"2,65";"5,114";"1,266"
"3049";"československý";"52";"1,34";"4,363";"1,266"
"3050";"Jirka";"39";"2,309";"4,985";"1,265"
"3051";"agilně";"31";"8,963";"5,557";"1,265"
"3052";"přítomný";"51";"1,377";"4,393";"1,264"
"3053";"laboratorní";"34";"3,492";"5,313";"1,264"
"3054";"pozitivní";"58";"1,13";"4,135";"1,263"
"3055";"uplynulý";"60";"1,076";"4,071";"1,263"
"3056";"prozatím";"41";"2,052";"4,859";"1,263"
"3057";"pasivní";"36";"2,846";"5,166";"1,263"
"3058";"krátce";"84";"0,693";"3,496";"1,263"
"3059";"pamatovat";"59";"1,1";"4,099";"1,262"
"3060";"dealer";"34";"3,47";"5,305";"1,262"
"3061";"intelektuál";"34";"3,466";"5,303";"1,262"
"3062";"forma";"102";"0,549";"3,198";"1,261"
"3063";"Arab";"33";"3,956";"5,374";"1,26"
"3064";"130";"41";"2,038";"4,844";"1,26"
"3065";"podléhat";"37";"2,609";"5,086";"1,26"
"3066";"sameček";"32";"4,775";"5,45";"1,259"
"3067";"vítr";"53";"1,283";"4,288";"1,259"
"3068";"kritizovat";"48";"1,507";"4,49";"1,258"
"3069";"Lenka";"54";"1,245";"4,248";"1,258"
"3070";"krátkosrstý";"31";"7,158";"5,529";"1,258"
"3071";"poněvadž";"34";"3,42";"5,286";"1,257"
"3072";"Převalský";"31";"7,064";"5,526";"1,257"
"3073";"maďarský";"42";"1,928";"4,777";"1,257"
"3074";"kvalitní";"95";"0,59";"3,273";"1,257"
"3075";"Řím";"41";"2,024";"4,829";"1,256"
"3076";"patnáctiletý";"35";"3,064";"5,209";"1,256"
"3077";"akorát";"37";"2,579";"5,065";"1,254"
"3078";"prarodič";"34";"3,389";"5,274";"1,254"
"3079";"tok";"41";"2,015";"4,819";"1,254"
"3080";"smyk";"35";"3,046";"5,2";"1,254"
"3081";"struktura";"49";"1,443";"4,426";"1,254"
"3082";"miniaturní";"33";"3,83";"5,341";"1,252"
"3083";"katastrofa";"41";"2,002";"4,805";"1,251"
"3084";"plnit";"53";"1,264";"4,248";"1,251"
